Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
6000,125,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
18000,155,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
30000,175,3+1,2,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
12000,101,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
30000,170,3+1,2,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
23000,176,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
23000,180,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
23000,176,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
30000,176,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
23000,165,3+1,3,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
23000,176,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
23000,176,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
23000,176,3+1,2,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
10000,102,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
30000,176,3+1,2,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
12000,135,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
23000,160,3+1,3,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
22000,165,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
23250,162,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
12500,100,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
12000,120,3+1,2,11-15,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
28000,160,4+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
7000,72,2+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
18000,135,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
12400,135,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
15000,135,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
17000,146,3+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
12000,100,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
12500,100,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
8000,90,2+1,2,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
39000,185,5+1,4,3,Merkezi (Pay Ölçer),Yok,Boş,Hayır
11000,110,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
25250,145,3+1,2,4,Yerden Isıtma,Yok,Boş,Hayır
7250,72,2+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
30000,165,4+1,2,5-10,Yerden Isıtma,Yok,Eşyalı,Hayır
8000,110,2+1,2,2,Merkezi (Pay Ölçer),Yok,Boş,Hayır
