Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
5500,70,1+1,1,2,Merkezi (Pay Ölçer),Var,Eşyalı,Evet
3200,27,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
19000,90,2+1,2,4,Yerden Isıtma,Yok,Boş,Hayır
40000,242,4+2,4,4,Yerden Isıtma,Yok,Boş,Hayır
40000,250,5+1,3,4,Yerden Isıtma,Yok,Boş,Hayır
6000,115,3+1,1,4,Kombi Doğalgaz,Var,Boş,Hayır
29500,207,3+1,2,4,Yerden Isıtma,Yok,Boş,Hayır
25500,170,3+1,2,4,Yerden Isıtma,Yok,Boş,Hayır
15000,270,4+1,2,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
6500,70,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
6500,70,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
6500,62,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
